 RPM,Horsepower,Torque (Lb-Ft)
2400,8.5,18.5
2600,9.0,18.1
2800,9.3,17.4
3000,9.5,16.6
3200,9.4,15.4
3400,9.4,14.5
3600,9.3,13.5
